,index,LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Value
52,52,AUS,Australia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2022,2022,USD,US Dollar,0,Units,68700.894288
53,53,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,0,Units,3829.64675
54,54,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1971,1971,USD,US Dollar,0,Units,4210.347651
55,55,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1972,1972,USD,US Dollar,0,Units,4638.431316
56,56,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1973,1973,USD,US Dollar,0,Units,5103.3167
57,57,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1974,1974,USD,US Dollar,0,Units,5772.030224
58,58,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1975,1975,USD,US Dollar,0,Units,6300.403725
59,59,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1976,1976,USD,US Dollar,0,Units,6963.323101
60,60,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1977,1977,USD,US Dollar,0,Units,7768.711476
61,61,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1978,1978,USD,US Dollar,0,Units,8304.353765
62,62,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1979,1979,USD,US Dollar,0,Units,9491.240194
63,63,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1980,1980,USD,US Dollar,0,Units,10527.764403
64,64,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1981,1981,USD,US Dollar,0,Units,11477.979999
65,65,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1982,1982,USD,US Dollar,0,Units,12423.32146
66,66,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1983,1983,USD,US Dollar,0,Units,13315.239801
67,67,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1984,1984,USD,US Dollar,0,Units,13803.556971
68,68,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1985,1985,USD,US Dollar,0,Units,14589.051609
69,69,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1986,1986,USD,US Dollar,0,Units,15215.699397
70,70,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1987,1987,USD,US Dollar,0,Units,15793.565747
71,71,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1988,1988,USD,US Dollar,0,Units,16865.676148
72,72,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1989,1989,USD,US Dollar,0,Units,18126.308244
73,73,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1990,1990,USD,US Dollar,0,Units,19473.072149
74,74,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1991,1991,USD,US Dollar,0,Units,20617.579151
75,75,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1992,1992,USD,US Dollar,0,Units,21293.268377
76,76,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1993,1993,USD,US Dollar,0,Units,21732.871199
77,77,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1994,1994,USD,US Dollar,0,Units,22642.841626
78,78,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1995,1995,USD,US Dollar,0,Units,23698.103036
79,79,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1996,1996,USD,US Dollar,0,Units,24560.615282
80,80,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1997,1997,USD,US Dollar,0,Units,25426.661961
81,81,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1998,1998,USD,US Dollar,0,Units,26675.649688
82,82,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1999,1999,USD,US Dollar,0,Units,27606.484247
83,83,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2000,2000,USD,US Dollar,0,Units,29381.672822
84,84,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,0,Units,29708.489482
85,85,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,0,Units,31178.051405
86,86,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,0,Units,32158.459495
87,87,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2004,2004,USD,US Dollar,0,Units,33784.446818
88,88,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2005,2005,USD,US Dollar,0,Units,35024.557468
89,89,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2006,2006,USD,US Dollar,0,Units,37662.888059
90,90,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2007,2007,USD,US Dollar,0,Units,39437.038746
91,91,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2008,2008,USD,US Dollar,0,Units,41316.022597
92,92,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2009,2009,USD,US Dollar,0,Units,40927.556407
93,93,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2010,2010,USD,US Dollar,0,Units,42019.005943
94,94,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2011,2011,USD,US Dollar,0,Units,44469.209638
95,95,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2012,2012,USD,US Dollar,0,Units,46477.65505
96,96,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2013,2013,USD,US Dollar,0,Units,47936.678019
97,97,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2014,2014,USD,US Dollar,0,Units,48813.534448
98,98,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2015,2015,USD,US Dollar,0,Units,49942.05633
99,99,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,52665.087417
100,100,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,54188.360688
101,101,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,56956.110561
102,102,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,59719.611987
103,103,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,57258.818338
104,104,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2021,2021,USD,US Dollar,0,Units,59991.43989
105,105,AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2022,2022,USD,US Dollar,0,Units,68664.352469
106,106,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,0,Units,3876.28192
107,107,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1971,1971,USD,US Dollar,0,Units,4210.339735
108,108,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1972,1972,USD,US Dollar,0,Units,4606.045809
109,109,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1973,1973,USD,US Dollar,0,Units,5140.547693
110,110,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1974,1974,USD,US Dollar,0,Units,5820.509462
111,111,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1975,1975,USD,US Dollar,0,Units,6257.950354
112,112,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1976,1976,USD,US Dollar,0,Units,6964.187913
113,113,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1977,1977,USD,US Dollar,0,Units,7434.877377
114,114,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1978,1978,USD,US Dollar,0,Units,8177.32804
115,115,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1979,1979,USD,US Dollar,0,Units,9056.634368
116,116,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1980,1980,USD,US Dollar,0,Units,10306.588206
117,117,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1981,1981,USD,US Dollar,0,Units,11242.312412
118,118,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1982,1982,USD,US Dollar,0,Units,11998.174633
119,119,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1983,1983,USD,US Dollar,0,Units,12500.660544
120,120,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1984,1984,USD,US Dollar,0,Units,13269.738001
121,121,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1985,1985,USD,US Dollar,0,Units,13912.683372
122,122,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1986,1986,USD,US Dollar,0,Units,14448.641749
123,123,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1987,1987,USD,US Dollar,0,Units,15130.569706
124,124,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1988,1988,USD,US Dollar,0,Units,16347.831078
125,125,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1989,1989,USD,US Dollar,0,Units,17514.427062
126,126,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1990,1990,USD,US Dollar,0,Units,18687.476525
127,127,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1991,1991,USD,US Dollar,0,Units,19598.86728
128,128,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1992,1992,USD,US Dollar,0,Units,20269.281477
129,129,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1993,1993,USD,US Dollar,0,Units,20470.683918
130,130,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1994,1994,USD,US Dollar,0,Units,21518.504152
131,131,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1995,1995,USD,US Dollar,0,Units,22447.051889
132,132,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1996,1996,USD,US Dollar,0,Units,22743.894752
133,133,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1997,1997,USD,US Dollar,0,Units,23732.789805
134,134,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1998,1998,USD,US Dollar,0,Units,24369.501225
135,135,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1999,1999,USD,US Dollar,0,Units,25441.891355
136,136,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2000,2000,USD,US Dollar,0,Units,27790.606282
137,137,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2001,2001,USD,US Dollar,0,Units,28792.40138
138,138,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,0,Units,30281.667957
139,139,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,0,Units,30934.823342
140,140,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2004,2004,USD,US Dollar,0,Units,32063.687266
141,141,BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2005,2005,USD,US Dollar,0,Units,33176.680886
